sessionID,targetX,targetY,touchX,touchY,name,phone
253,0.034375,0.564606741573034,0.034375,0.584269662921348,Subject15,Iphone4
253,0.60625,0.901685393258427,0.625,0.907303370786517,Subject15,Iphone4
253,0.2875,0.764044943820225,0.253125,0.783707865168539,Subject15,Iphone4
253,0.25,0.814606741573034,0.228125,0.823033707865169,Subject15,Iphone4
253,0.059375,0.657303370786517,0.04375,0.679775280898876,Subject15,Iphone4
253,0.06875,0.910112359550562,0.05,0.963483146067416,Subject15,Iphone4
253,0.625,0.603932584269663,0.68125,0.643258426966292,Subject15,Iphone4
253,0.265625,0.530898876404494,0.26875,0.533707865168539,Subject15,Iphone4
253,0.596875,0.974719101123596,0.603125,0.963483146067416,Subject15,Iphone4
253,0.290625,0.533707865168539,0.25,0.530898876404494,Subject15,Iphone4
253,0.946875,0.575842696629214,0.98125,0.564606741573034,Subject15,Iphone4
253,0.825,0.544943820224719,0.909375,0.542134831460674,Subject15,Iphone4
253,0.4625,0.556179775280899,0.4875,0.570224719101124,Subject15,Iphone4
253,0.6875,0.814606741573034,0.70625,0.828651685393258,Subject15,Iphone4
253,0.734375,0.873595505617977,0.775,0.910112359550562,Subject15,Iphone4
253,0.246875,0.898876404494382,0.23125,0.935393258426966,Subject15,Iphone4
253,0.759375,0.941011235955056,0.79375,0.943820224719101,Subject15,Iphone4
253,0.921875,0.654494382022472,0.9625,0.674157303370787,Subject15,Iphone4
253,0.334375,0.72752808988764,0.30625,0.769662921348315,Subject15,Iphone4
253,0.184375,0.974719101123596,0.175,0.980337078651685,Subject15,Iphone4
253,0.7875,0.682584269662921,0.853125,0.707865168539326,Subject15,Iphone4
253,0.2875,0.707865168539326,0.29375,0.741573033707865,Subject15,Iphone4
253,0.88125,0.573033707865169,0.90625,0.581460674157303,Subject15,Iphone4
253,0.290625,0.691011235955056,0.275,0.721910112359551,Subject15,Iphone4
253,0.296875,0.789325842696629,0.271875,0.820224719101124,Subject15,Iphone4
253,0.01875,0.542134831460674,0.034375,0.570224719101124,Subject15,Iphone4
253,0.34375,0.870786516853933,0.35625,0.876404494382023,Subject15,Iphone4
253,0.875,0.825842696629213,0.915625,0.825842696629213,Subject15,Iphone4
253,0.796875,0.617977528089888,0.8375,0.612359550561798,Subject15,Iphone4
253,0.05,0.758426966292135,0.0375,0.803370786516854,Subject15,Iphone4
253,0.34375,0.957865168539326,0.30625,0.974719101123596,Subject15,Iphone4
253,0.740625,0.51685393258427,0.75625,0.536516853932584,Subject15,Iphone4
253,0.24375,0.685393258426966,0.2375,0.696629213483146,Subject15,Iphone4
253,0.471875,0.674157303370787,0.509375,0.660112359550562,Subject15,Iphone4
253,0.45,0.606741573033708,0.4625,0.629213483146067,Subject15,Iphone4
253,0.25,0.893258426966292,0.240625,0.901685393258427,Subject15,Iphone4
253,0.534375,0.72752808988764,0.540625,0.747191011235955,Subject15,Iphone4
253,0.825,0.851123595505618,0.8625,0.848314606741573,Subject15,Iphone4
253,0.975,0.794943820224719,0.975,0.817415730337079,Subject15,Iphone4
253,0.790625,0.587078651685393,0.853125,0.612359550561798,Subject15,Iphone4
253,0.034375,0.797752808988764,0.06875,0.870786516853933,Subject15,Iphone4
253,0.825,0.820224719101124,0.896875,0.839887640449438,Subject15,Iphone4
253,0.903125,0.817415730337079,0.94375,0.811797752808989,Subject15,Iphone4
253,0.359375,0.660112359550562,0.3375,0.691011235955056,Subject15,Iphone4
253,0.7875,0.601123595505618,0.828125,0.617977528089888,Subject15,Iphone4
253,0.103125,0.758426966292135,0.071875,0.76685393258427,Subject15,Iphone4
253,0.246875,0.696629213483146,0.21875,0.72752808988764,Subject15,Iphone4
253,0.871875,0.710674157303371,0.91875,0.719101123595506,Subject15,Iphone4
253,0.475,0.637640449438202,0.475,0.657303370786517,Subject15,Iphone4
253,0.678125,0.702247191011236,0.684375,0.721910112359551,Subject15,Iphone4
253,0.5,0.842696629213483,0.475,0.859550561797753,Subject15,Iphone4
253,0.184375,0.98314606741573,0.159375,0.99438202247191,Subject15,Iphone4
253,0.55625,0.794943820224719,0.571875,0.820224719101124,Subject15,Iphone4
253,0.878125,0.817415730337079,0.934375,0.837078651685393,Subject15,Iphone4
253,0.28125,0.974719101123596,0.25625,0.98876404494382,Subject15,Iphone4
253,0.6875,0.952247191011236,0.7,0.957865168539326,Subject15,Iphone4
253,0.9375,0.800561797752809,0.95625,0.803370786516854,Subject15,Iphone4
253,0.41875,0.924157303370787,0.425,0.952247191011236,Subject15,Iphone4
253,0.95,0.52247191011236,0.96875,0.530898876404494,Subject15,Iphone4
253,0.834375,0.637640449438202,0.896875,0.637640449438202,Subject15,Iphone4
253,0.4625,0.691011235955056,0.48125,0.682584269662921,Subject15,Iphone4
253,0.4375,0.963483146067416,0.4375,0.966292134831461,Subject15,Iphone4
253,0.215625,0.735955056179775,0.23125,0.783707865168539,Subject15,Iphone4
253,0.79375,0.671348314606742,0.825,0.682584269662921,Subject15,Iphone4
253,0.1875,0.783707865168539,0.184375,0.811797752808989,Subject15,Iphone4
253,0.8875,0.915730337078652,0.909375,0.926966292134832,Subject15,Iphone4
253,0.734375,0.595505617977528,0.75625,0.606741573033708,Subject15,Iphone4
